"content_raw","language","level","value","categories","pages","files"
"User es-4‎ (3 C, 15 P)","es","4","3 C, 15 P",3,15,NA
"User es-N‎ (11 C, 158 P)","es","N","11 C, 158 P",11,158,NA
"User et-1‎ (4 P)","et","1","4 P",NA,4,NA
"User et-2‎ (3 P)","et","2","3 P",NA,3,NA
"User et-N‎ (5 P)","et","N","5 P",NA,5,NA
"User eu-2‎ (2 P)","eu","2","2 P",NA,2,NA
"User eu-3‎ (2 P)","eu","3","2 P",NA,2,NA
"User eu-N‎ (5 P)","eu","N","5 P",NA,5,NA
"User fa-2‎ (3 P)","fa","2","3 P",NA,3,NA
"User fa-N‎ (8 P)","fa","N","8 P",NA,8,NA
"User fi-1‎ (8 P)","fi","1","8 P",NA,8,NA
"User fi-2‎ (3 P)","fi","2","3 P",NA,3,NA
"User fi-3‎ (1 P)","fi","3","1 P",NA,1,NA
"User fi-4‎ (1 P)","fi","4","1 P",NA,1,NA
"User fi-N‎ (14 P)","fi","N","14 P",NA,14,NA
"User fur-N‎ (1 C, 8 P)","fur","N","1 C, 8 P",1,8,NA
"User ga-1‎ (1 P)","ga","1","1 P",NA,1,NA
"User ga-2‎ (empty)","ga","2","empty",NA,NA,NA
"User gd-1‎ (2 P)","gd","1","2 P",NA,2,NA
"User gd-2‎ (1 P)","gd","2","1 P",NA,1,NA
"User gd-3‎ (1 P)","gd","3","1 P",NA,1,NA
"User gd-4‎ (1 P)","gd","4","1 P",NA,1,NA
"User gd-5‎ (empty)","gd","5","empty",NA,NA,NA
"User gd-N‎ (1 P)","gd","N","1 P",NA,1,NA
"User gl-N‎ (5 P)","gl","N","5 P",NA,5,NA
"User gov-N‎ (1 P)","gov","N","1 P",NA,1,NA
"User gsw-3‎ (1 P)","gsw","3","1 P",NA,1,NA
"User gsw-4‎ (1 P)","gsw","4","1 P",NA,1,NA
"User gsw-N‎ (2 P)","gsw","N","2 P",NA,2,NA
"User gu-N‎ (1 P)","gu","N","1 P",NA,1,NA
"User he-1‎ (2 C, 3 P)","he","1","2 C, 3 P",2,3,NA
"User he-2‎ (2 P)","he","2","2 P",NA,2,NA
"User he-N‎ (3 C, 2 P)","he","N","3 C, 2 P",3,2,NA
"User hi-3‎ (3 P)","hi","3","3 P",NA,3,NA
"User hi-4‎ (1 P)","hi","4","1 P",NA,1,NA
"User hi-5‎ (1 P)","hi","5","1 P",NA,1,NA
"User hi-N‎ (1 P)","hi","N","1 P",NA,1,NA
"User hr-1‎ (3 P)","hr","1","3 P",NA,3,NA
"User hr-2‎ (2 P)","hr","2","2 P",NA,2,NA
"User hr-3‎ (5 P)","hr","3","5 P",NA,5,NA
"User hr-4‎ (1 P)","hr","4","1 P",NA,1,NA
"User hr-N‎ (1 C, 27 P)","hr","N","1 C, 27 P",1,27,NA
"User ht-2‎ (2 P)","ht","2","2 P",NA,2,NA
"User ht-N‎ (6 P)","ht","N","6 P",NA,6,NA
"User hu-1‎ (8 P)","hu","1","8 P",NA,8,NA
"User hu-N‎ (35 P)","hu","N","35 P",NA,35,NA
"User hy-N‎ (1 C, 3 P)","hy","N","1 C, 3 P",1,3,NA
"User hy-1‎ (1 P)","hy","1","1 P",NA,1,NA
"User ia-2‎ (1 P)","ia","2","1 P",NA,1,NA
"User id-1‎ (4 P)","id","1","4 P",NA,4,NA
"User id-2‎ (3 P)","id","2","3 P",NA,3,NA
"User id-N‎ (4 P)","id","N","4 P",NA,4,NA
"User ilo-2‎ (1 P)","ilo","2","1 P",NA,1,NA
"User is-1‎ (4 P)","is","1","4 P",NA,4,NA
"User it-0‎ (2 P)","it","0","2 P",NA,2,NA
"User it-1‎ (1 C, 48 P)","it","1","1 C, 48 P",1,48,NA
"User it-2‎ (28 P)","it","2","28 P",NA,28,NA
"User it-3‎ (1 C, 18 P)","it","3","1 C, 18 P",1,18,NA
"User it-4‎ (2 P)","it","4","2 P",NA,2,NA
"User it-5‎ (1 P)","it","5","1 P",NA,1,NA
"User it-N‎ (2 C, 116 P)","it","N","2 C, 116 P",2,116,NA
"User iu-1‎ (2 P)","iu","1","2 P",NA,2,NA
"User ja-0‎ (1 P)","ja","0","1 P",NA,1,NA
